BATTLE/BATINI.X	5695	name-match
BATTLE/BATRES.X	3610	name-match
BATTLE/BATTLE.X	130382	name-match
BATTLE/BROM.X	1140	name-match
FIELD/DSCHANGE.X	6044	name-match
FIELD/ENDING.X	62704	name-match
SCES_008.68	397312	PS-X EXE
