Name,Address,Type
SPU_OBJ_3F4,0x8003671C,label
SPU_OBJ_420,0x80036748,label
SPU_OBJ_440,0x80036768,func
_spu_FiDMA,0x80036788,func
SPU_OBJ_48C,0x800367B4,label
SPU_OBJ_4C0,0x800367E8,label
SPU_OBJ_4E4,0x8003680C,label
SPU_OBJ_514,0x8003683C,label
SPU_OBJ_520,0x80036848,func
_spu_r_,0x80036858,func
_spu_t,0x80036914,func
SPU_OBJ_634,0x8003695C,label
SPU_OBJ_650,0x80036978,label
SPU_OBJ_67C,0x800369A4,label
SPU_OBJ_6A8,0x800369D0,label
SPU_OBJ_6C4,0x800369EC,label
SPU_OBJ_6EC,0x80036A14,label
SPU_OBJ_718,0x80036A40,label
SPU_OBJ_734,0x80036A5C,label
SPU_OBJ_758,0x80036A80,label
SPU_OBJ_770,0x80036A98,label
SPU_OBJ_790,0x80036AB8,label
SPU_OBJ_7B0,0x80036AD8,label
SPU_OBJ_7D4,0x80036AFC,label
SPU_OBJ_7E0,0x80036B08,func
SPU_OBJ_854,0x80036B7C,label
SPU_OBJ_868,0x80036B90,func
_spu_write,0x80036BA4,func
SPU_OBJ_8DC,0x80036C04,label
SPU_OBJ_8EC,0x80036C14,func
_spu_read,0x80036C2C,func
_spu_FsetRXX,0x80036C94,func
SPU_OBJ_990,0x80036CB8,label
SPU_OBJ_9AC,0x80036CD4,func
_spu_FsetRXXa,0x80036CDC,func
SPU_OBJ_9E4,0x80036D0C,label
SPU_OBJ_A08,0x80036D30,label
SPU_OBJ_A34,0x80036D5C,label
SPU_OBJ_A3C,0x80036D64,label
SPU_OBJ_A50,0x80036D78,func
_spu_FgetRXXa,0x80036D80,func
SPU_OBJ_A88,0x80036DB0,label
SPU_OBJ_A8C,0x80036DB4,func
_spu_FsetPCR,0x80036DBC,func
SPU_OBJ_AD0,0x80036DF8,label
SPU_OBJ_AE4,0x80036E0C,func
_spu_FsetDelayW,0x80036E1C,func
_spu_FsetDelayR,0x80036E48,func
_spu_FwaitFs,0x80036E74,func
SPU_OBJ_B64,0x80036E8C,label
SPU_OBJ_B8C,0x80036EB4,func
_SpuDataCallback,0x80036ED4,func
SpuInitMalloc,0x80036EF8,func
S_M_INIT_OBJ_14,0x80036F0C,label
S_M_INIT_OBJ_4C,0x80036F44,func
_SpuMallocSeparateTo3,0x80036F4C,func
S_M_WSA_OBJ_54,0x80036FA0,label
S_M_WSA_OBJ_70,0x80036FBC,func
S_M_WSA_OBJ_88,0x80036FD4,label
S_M_WSA_OBJ_8C,0x80036FD8,func
S_M_WSA_OBJ_120,0x8003706C,label
S_M_WSA_OBJ_168,0x800370B4,func
S_M_WSA_OBJ_1BC,0x80037108,label
S_M_WSA_OBJ_1E4,0x80037130,label
S_M_WSA_OBJ_1F8,0x80037144,func
S_M_WSA_OBJ_2A0,0x800371EC,label
S_M_WSA_OBJ_2C8,0x80037214,label
S_M_WSA_OBJ_338,0x80037284,func
S_M_WSA_OBJ_33C,0x80037288,func
S_M_WSA_OBJ_348,0x80037294,label
SpuMallocWithStartAddr,0x800372A8,func
S_M_WSA_OBJ_38C,0x800372D8,label
S_M_WSA_OBJ_3A8,0x800372F4,func
S_M_WSA_OBJ_3C8,0x80037314,label
S_M_WSA_OBJ_3EC,0x80037338,label
S_M_WSA_OBJ_4A0,0x800373EC,label
S_M_WSA_OBJ_4D8,0x80037424,func
S_M_WSA_OBJ_4E8,0x80037434,label
S_M_WSA_OBJ_4F0,0x8003743C,label
S_M_WSA_OBJ_508,0x80037454,func
S_M_WSA_OBJ_564,0x800374B0,label
S_M_WSA_OBJ_59C,0x800374E8,label
S_M_WSA_OBJ_5B8,0x80037504,label
S_M_WSA_OBJ_5C0,0x8003750C,label
S_M_WSA_OBJ_5C8,0x80037514,label
S_M_WSA_OBJ_5E0,0x8003752C,func
S_M_WSA_OBJ_5EC,0x80037538,func
S_M_WSA_OBJ_5F8,0x80037544,func
_spu_gcSPU,0x80037560,func
S_M_INT_OBJ_34,0x80037594,label
S_M_INT_OBJ_50,0x800375B0,func
S_M_INT_OBJ_68,0x800375C8,label
S_M_INT_OBJ_B8,0x80037618,label
