Name,Address
caseD_df,0x80031AAC
caseD_e0,0x80031AAC
caseD_e1,0x80031AAC
caseD_e2,0x80031AAC
caseD_e3,0x80031AAC
caseD_e4,0x80031AAC
caseD_e5,0x80031AAC
caseD_e6,0x80031AAC
caseD_e7,0x80031AAC
caseD_e8,0x80031AAC
caseD_e9,0x80031AAC
caseD_ea,0x80031AAC
caseD_eb,0x80031AAC
caseD_ec,0x80031AAC
caseD_ed,0x80031AAC
switchD,0x800340F0
caseD_5,0x800340F8
caseD_6,0x800340F8
caseD_d,0x800340F8
caseD_e,0x800340F8
caseD_8,0x80034110
caseD_9,0x80034110
caseD_a,0x80034110
caseD_1,0x80034120
caseD_2,0x80034120
caseD_3,0x80034120
caseD_4,0x80034120
caseD_b,0x80034120
caseD_c,0x80034120
caseD_f,0x80034120
caseD_10,0x80034120
caseD_11,0x80034120
caseD_12,0x80034120
caseD_0,0x80034128
caseD_7,0x80034128
S_INI_OBJ_30,0x800361E4
S_INI_OBJ_40,0x800361F4
S_INI_OBJ_164,0x80036318
SPU_OBJ_8C,0x800363B4
SPU_OBJ_B8,0x800363E0
SPU_OBJ_D8,0x80036400
SPU_OBJ_140,0x80036468
SPU_OBJ_1B4,0x800364DC
SPU_OBJ_250,0x80036578
SPU_OBJ_2DC,0x80036604
SPU_OBJ_2E8,0x80036610
SPU_OBJ_2F8,0x80036620
SPU_OBJ_314,0x8003663C
SPU_OBJ_360,0x80036688
SPU_OBJ_38C,0x800366B4
SPU_OBJ_3C4,0x800366EC
SPU_OBJ_3F4,0x8003671C
SPU_OBJ_420,0x80036748
SPU_OBJ_48C,0x800367B4
SPU_OBJ_4C0,0x800367E8
SPU_OBJ_4E4,0x8003680C
SPU_OBJ_514,0x8003683C
SPU_OBJ_634,0x8003695C
SPU_OBJ_650,0x80036978
SPU_OBJ_67C,0x800369A4
SPU_OBJ_6A8,0x800369D0
SPU_OBJ_6C4,0x800369EC
SPU_OBJ_6EC,0x80036A14
SPU_OBJ_718,0x80036A40
SPU_OBJ_734,0x80036A5C
SPU_OBJ_758,0x80036A80
SPU_OBJ_770,0x80036A98
SPU_OBJ_790,0x80036AB8
SPU_OBJ_7B0,0x80036AD8
SPU_OBJ_7D4,0x80036AFC
SPU_OBJ_854,0x80036B7C
SPU_OBJ_8DC,0x80036C04
SPU_OBJ_990,0x80036CB8
SPU_OBJ_9E4,0x80036D0C
SPU_OBJ_A08,0x80036D30
SPU_OBJ_A34,0x80036D5C
SPU_OBJ_A3C,0x80036D64
SPU_OBJ_A88,0x80036DB0
SPU_OBJ_AD0,0x80036DF8
SPU_OBJ_B64,0x80036E8C
S_M_INIT_OBJ_14,0x80036F0C
S_M_WSA_OBJ_54,0x80036FA0
S_M_WSA_OBJ_88,0x80036FD4
S_M_WSA_OBJ_120,0x8003706C
S_M_WSA_OBJ_1BC,0x80037108
S_M_WSA_OBJ_1E4,0x80037130
S_M_WSA_OBJ_2A0,0x800371EC
S_M_WSA_OBJ_2C8,0x80037214
S_M_WSA_OBJ_348,0x80037294
S_M_WSA_OBJ_38C,0x800372D8
S_M_WSA_OBJ_3C8,0x80037314
S_M_WSA_OBJ_3EC,0x80037338
S_M_WSA_OBJ_4A0,0x800373EC
S_M_WSA_OBJ_4E8,0x80037434
S_M_WSA_OBJ_4F0,0x8003743C
S_M_WSA_OBJ_564,0x800374B0
S_M_WSA_OBJ_59C,0x800374E8
S_M_WSA_OBJ_5B8,0x80037504
S_M_WSA_OBJ_5C0,0x8003750C
S_M_WSA_OBJ_5C8,0x80037514
S_M_INT_OBJ_34,0x80037594
S_M_INT_OBJ_68,0x800375C8
S_M_INT_OBJ_B8,0x80037618
S_M_INT_OBJ_E0,0x80037640
S_M_INT_OBJ_100,0x80037660
S_M_INT_OBJ_118,0x80037678
S_M_INT_OBJ_124,0x80037684
S_M_INT_OBJ_150,0x800376B0
S_M_INT_OBJ_184,0x800376E4
S_M_INT_OBJ_1C8,0x80037728
S_M_INT_OBJ_1D4,0x80037734
S_M_INT_OBJ_1EC,0x8003774C
S_M_INT_OBJ_218,0x80037778
S_M_INT_OBJ_258,0x800377B8
