Name,Address
SetLightMatrix,0x8003B3B8
SetColorMatrix,0x8003B3E8
SetVertex0,0x8003B438
SetVertex1,0x8003B448
SetVertex2,0x8003B458
SetVertexTri,0x8003B468
SetRGBfifo,0x8003B488
SetIR123,0x8003B49C
SetIR0,0x8003B4B0
SetSZfifo3,0x8003B4BC
SetSZfifo4,0x8003B4D0
SetSXSYfifo,0x8003B4E8
SetRii,0x8003B4FC
SetMAC123,0x8003B510
SetData32,0x8003B524
SetDQA,0x8003B530
SetDQB,0x8003B53C
ReadGeomOffset,0x8003B548
SetBackColor,0x8003B578
SetFarColor,0x8003B598
LocalLight,0x8003B5E8
DpqColor,0x8003B60C
NormalColor,0x8003B628
NormalColor3,0x8003B644
NormalColorDpq,0x8003B680
NormalColorDpq3,0x8003B6A4
NormalColorCol,0x8003B6EC
NormalColorCol3,0x8003B70C
ColorDpq,0x8003B750
ColorCol,0x8003B778
AverageSZ3,0x8003B79C
AverageSZ4,0x8003B7AC
LightColor,0x8003B7C8
DpqColorLight,0x8003B7F0
DpqColor3,0x8003B818
Intpl,0x8003B854
Square12,0x8003B878
Square0,0x8003B8A0
AverageZ3,0x8003B8C8
AverageZ4,0x8003B8E8
OuterProduct12,0x8003B90C
OuterProduct0,0x8003B964
Lzc,0x8003B9BC
RotTransSV,0x8003B9D8
SquareSS12,0x8003BA08
SquareSS0,0x8003BA40
SquareSL12,0x8003BA78
SquareSL0,0x8003BAA8
RotTransPers3,0x8003BB08
RotTrans,0x8003BB68
RotTransPers4,0x8003BB98
RotAverage3,0x8003BC18
RotAverage4,0x8003BC78
RotAverageNclip3,0x8003BCF8
RotAverageNclip4,0x8003BD88
TransposeMatrix,0x8003BE38
FGO_01_OBJ_64,0x8003BEEC
FGO_01_OBJ_CC,0x8003BF54
FGO_01_OBJ_160,0x8003BFE8
RotMatrixYXZ,0x8003C118
FGO_02_OBJ_68,0x8003C180
FGO_02_OBJ_CC,0x8003C1E4
FGO_02_OBJ_160,0x8003C278
RotMatrixZYX,0x8003C3A8
FGO_03_OBJ_64,0x8003C40C
FGO_03_OBJ_CC,0x8003C474
FGO_03_OBJ_160,0x8003C508
RotMatrixX,0x8003C638
FGO_04_OBJ_64,0x8003C69C
RotMatrixY,0x8003C7D8
FGO_05_OBJ_64,0x8003C83C
RotMatrixZ,0x8003C978
FGO_06_OBJ_64,0x8003C9DC
ratan2,0x8003CB18
RATAN_OBJ_BC,0x8003CBD4
RATAN_OBJ_148,0x8003CC60
RATAN_OBJ_15C,0x8003CC74
RATAN_OBJ_178,0x8003CC90
PadInit,0x8003CD38
PadRead,0x8003CD88
PadStop,0x8003CDB8
VSYNC_OBJ_84,0x8003CE5C
VSYNC_OBJ_130,0x8003CF08
VSYNC_OBJ_1D4,0x8003CFAC
VSyncCallbacks,0x8003D080
RestartCallback,0x8003D0E0
GetIntrMask,0x8003D120
INTR_OBJ_428,0x8003D3E4
INTR_OBJ_514,0x8003D4D0
restartIntr,0x8003D618
INTR_OBJ_6D0,0x8003D68C
trapIntrVSync,0x8003D724
setIntrVSync,0x8003D79C
trapIntrDMA,0x8003D844
setIntrDMA,0x8003D9C8
INTR_DMA_OBJ_274,0x8003DA68
SetVideoMode,0x8003DA9C
StSetRing,0x8003DAC4
EVENT_OBJ_7C,0x8003DB70
def_cbsync,0x8003DB84
def_cbready,0x8003DBAC
def_cbread,0x8003DBD4
CDREAD2_OBJ_50,0x80040508
StCdInterrupt2,0x8004054C
StClearRing,0x800407BC
C_004_OBJ_DC,0x80040950
StSetStream,0x80040964
C_007_OBJ_B0,0x80040A9C
C_015_OBJ_B4,0x800417E8
PrintMdecTimeout,0x800423E8
_bu_init,0x800428D4
SystemError,0x80042904
TestEvent,0x80042954
StopPAD,0x800429A4
PAD_init2,0x800429B4
PAD_dr,0x800429C4
open,0x80042A44
read,0x80042A54
write,0x80042A64
close,0x80042A74
format,0x80042A84
firstfile,0x80042A94
nextfile,0x80042AA4
erase,0x80042AB4
COUNTER_OBJ_74,0x80042B58
COUNTER_OBJ_98,0x80042B7C
COUNTER_OBJ_D0,0x80042BB4
ResetRCnt,0x80042C24
COUNTER_OBJ_170,0x80042C54
bcopy,0x80042CAC
rand,0x80042CCC
srand,0x80042CDC
sprintf,0x80042CFC
SPRINTF_OBJ_90,0x80042D8C
SPRINTF_OBJ_1C0,0x80042EBC
SPRINTF_OBJ_260,0x80042F5C
SPRINTF_OBJ_2A4,0x80042FA0
SPRINTF_OBJ_2C8,0x80042FC4
SPRINTF_OBJ_2D4,0x80042FD0
SPRINTF_OBJ_2E0,0x80042FDC
SPRINTF_OBJ_2EC,0x80042FE8
SPRINTF_OBJ_30C,0x80043008
SPRINTF_OBJ_35C,0x80043058
SPRINTF_OBJ_388,0x80043084
SPRINTF_OBJ_474,0x80043170
SPRINTF_OBJ_564,0x80043260
SPRINTF_OBJ_578,0x80043274
SPRINTF_OBJ_588,0x80043284
SPRINTF_OBJ_590,0x8004328C
SPRINTF_OBJ_680,0x8004337C
SPRINTF_OBJ_6A0,0x8004339C
SPRINTF_OBJ_724,0x80043420
SPRINTF_OBJ_758,0x80043454
SPRINTF_OBJ_770,0x8004346C
SPRINTF_OBJ_804,0x80043500
MEMMOVE_OBJ_64,0x800435DC
InitGraphics,0x80043834
SetGraphDebug,0x80043AA4
SetDispMask,0x80043C38
SendGp1Command,0x800457EC
ResetGraph,0x80045F28
GetGraphType,0x8004634C
